iter	Passed	Remaining
0	140	70244
1	142	35590
2	145	24081
3	147	18270
4	149	14795
5	151	12479
6	153	10813
7	155	9562
8	157	8576
9	158	7788
10	160	7151
11	162	6617
12	164	6164
13	166	5781
14	168	5441
15	170	5150
16	172	4888
17	173	4657
18	175	4447
19	177	4257
20	179	4085
21	180	3931
22	183	3805
23	185	3686
24	187	3568
25	189	3457
26	191	3356
27	193	3258
28	195	3169
29	197	3087
30	198	3010
31	201	2940
32	203	2879
33	205	2816
34	207	2756
35	209	2700
36	211	2645
37	213	2592
38	215	2542
39	217	2501
40	219	2461
41	221	2419
42	224	2383
43	226	2342
44	227	2303
45	229	2266
46	231	2231
47	233	2199
48	235	2166
49	237	2134
50	239	2105
51	241	2076
52	243	2052
53	245	2027
54	247	2005
55	249	1979
56	251	1954
57	253	1932
58	255	1910
59	257	1889
60	259	1869
61	261	1848
62	263	1828
63	265	1807
64	267	1787
65	269	1768
66	270	1749
67	272	1734
68	274	1717
69	276	1700
70	278	1684
71	280	1668
72	282	1651
73	284	1636
74	286	1621
75	288	1607
76	289	1592
77	291	1578
78	293	1564
79	295	1549
80	296	1535
81	298	1522
82	300	1509
83	302	1497
84	304	1485
85	306	1473
86	307	1461
87	309	1449
88	311	1438
89	313	1426
90	315	1416
91	317	1406
92	318	1395
93	320	1384
94	322	1375
95	324	1366
96	326	1356
97	328	1347
98	330	1338
99	332	1329
100	334	1320
101	336	1311
102	337	1302
103	339	1294
104	341	1286
105	344	1279
106	346	1271
107	348	1263
108	349	1255
109	351	1246
110	353	1238
111	355	1230
112	356	1222
113	358	1215
114	360	1208
115	362	1200
116	364	1194
117	366	1186
118	368	1179
119	370	1172
120	372	1167
121	375	1161
122	377	1155
123	379	1149
124	381	1143
125	382	1136
126	384	1129
127	386	1124
128	388	1118
129	391	1113
130	393	1108
131	395	1102
132	397	1096
133	399	1090
134	401	1085
135	403	1079
136	405	1073
137	407	1068
138	409	1062
139	411	1058
140	413	1053
141	415	1048
142	418	1043
143	420	1038
144	422	1033
145	424	1029
146	426	1023
147	428	1018
148	430	1013
149	432	1008
150	433	1002
151	435	997
152	437	992
153	439	988
154	441	983
155	443	978
156	445	972
157	447	967
158	448	962
159	450	957
160	452	953
161	455	949
162	456	944
163	458	939
164	460	934
165	462	929
166	463	924
167	465	920
168	467	915
169	469	912
170	472	908
171	474	904
172	476	899
173	477	895
174	479	891
175	481	887
176	483	882
177	485	878
178	487	874
179	489	870
180	491	866
181	493	861
182	495	858
183	497	854
184	499	850
185	501	846
186	503	842
187	505	838
188	507	834
189	508	830
190	511	826
191	513	823
192	515	819
193	516	815
194	518	811
195	520	807
196	522	803
197	524	800
198	526	796
199	528	793
200	530	789
201	532	785
202	534	782
203	536	778
204	538	774
205	540	771
206	542	767
207	544	763
208	546	760
209	547	756
210	549	752
211	551	749
212	553	745
213	555	742
214	557	738
215	558	734
216	560	731
217	562	728
218	564	724
219	567	721
220	569	718
221	571	715
222	573	712
223	575	709
224	577	705
225	579	702
226	581	699
227	583	696
228	586	693
229	588	690
230	590	687
231	592	684
232	594	681
233	596	678
234	598	674
235	600	671
236	602	668
237	604	665
238	606	662
239	608	659
240	610	656
241	612	653
242	614	650
243	616	646
244	618	643
245	620	641
246	622	638
247	624	634
248	626	631
249	628	628
250	630	625
251	632	622
252	634	619
253	635	615
254	637	612
255	639	609
256	641	606
257	643	603
258	644	599
259	646	596
260	648	593
261	649	590
262	651	587
263	653	584
264	655	580
265	656	577
266	658	574
267	660	571
268	662	568
269	663	565
270	665	562
271	667	559
272	669	556
273	671	553
274	672	550
275	674	547
276	676	544
277	678	541
278	680	538
279	681	535
280	683	532
281	685	529
282	687	527
283	689	524
284	691	521
285	693	518
286	694	515
287	696	513
288	698	510
289	700	507
290	702	504
291	704	501
292	706	499
293	708	496
294	710	493
295	711	490
296	713	487
297	715	485
298	717	482
299	719	479
300	721	476
301	723	474
302	724	471
303	726	468
304	728	465
305	730	462
306	731	459
307	733	457
308	735	454
309	737	451
310	739	449
311	741	446
312	742	443
313	744	440
314	745	438
315	747	435
316	750	433
317	752	430
318	754	428
319	756	425
320	758	422
321	760	420
322	762	417
323	764	415
324	768	413
325	770	411
326	772	408
327	774	406
328	776	403
329	778	400
330	780	398
331	782	395
332	783	393
333	785	390
334	787	388
335	789	385
336	791	382
337	793	380
338	795	377
339	797	375
340	798	372
341	800	370
342	802	367
343	804	365
344	806	362
345	808	359
346	810	357
347	812	354
348	814	352
349	816	349
350	818	347
351	819	344
352	821	342
353	823	339
354	825	337
355	827	334
356	829	332
357	831	329
358	833	327
359	835	324
360	836	322
361	838	319
362	841	317
363	843	315
364	845	312
365	847	310
366	848	307
367	850	305
368	852	302
369	854	300
370	856	297
371	858	295
372	860	292
373	862	290
374	863	287
375	865	285
376	867	283
377	869	280
378	871	278
379	873	275
380	875	273
381	876	270
382	878	268
383	880	265
384	882	263
385	884	261
386	885	258
387	888	256
388	890	253
389	892	251
390	894	249
391	895	246
392	897	244
393	899	242
394	901	239
